Full Name,Email,Phone,Company,Signup Date
  John Smith ,JOHN.SMITH@GMAIL.COM,(555) 123-4567,Acme Inc,2023-01-05
jane doe,jane.doe@yahoo.com ,555.987.6543,Globex   ,01/06/2023
JOHN SMITH,john.smith@gmail.com,5551234567,Acme Inc.,2023-01-05
Mary  Johnson,mary@@example.com,+1 (555) 222-3333,Initech,2023/02/14
,bob@,555-000-1111,,
Bob  Brown,BOB@COMPANY.IO,(555) 444 5555,Hooli,March 3 2023
alice WONG,alice.wong@gmail.com,555 666 7777,Stark Industries,2023-03-20
Mary Johnson ,MARY@example.com,5552223333,Initech,2023-02-14
 Tom Lee,tom.lee@@gmail.com,12345,Wayne Enterprises,not a date
Jane Doe,JANE.DOE@YAHOO.COM,(555) 987-6543,Globex,2023-01-06
